Field_ID,easting,northing,zone,azimuth,bo_inc_angle_deg,declination,bo_dec_angle_deg,coil_diameter,detect_coil,noise_coil,pulse_sequence,pulse_width,year
SMR_UD01,150670.2113,6482449.101,55,0,-63.35,9.13,9.13,100,1,4,FID,70,2022
SMR_UD02,154886.0894,6501679.905,55,44.99999934,-63.18,9.11,-35.88999934,100,1,4,FID,70,2022
SMR_UD03,159447.9185,6495196.721,55,44.99999934,-63.35,9.13,-35.86999934,100,1,4,FID,70,2022
SMR_UD04,162630.4483,6498149.039,55,0,-63.17,9.08,9.08,100,1,4,FID,70,2022
SMR_UD05,164857.1405,6507914.751,55,44.99999934,-63.066,9.078,-35.92199934,100,1,4,FID,70,2022
SMR_UD06,167339.9666,6499947.277,55,44.99999934,-63.18,9.15,-35.84999934,100,1,4,FID,70,2022
SMR_UD07,173558.4601,6507597.213,55,0,-63.11,9.16,9.16,100,1,4,FID,70,2022
SMR_UD08,174111.306,6509796.03,55,0,-63.09,9.16,9.16,100,1,0,FID,70,2022
SMR_UD10,218496,6526219,55,0,-62.88,9.25,9.25,100,1,4,FID,70,2022
SMR_UD13,252432,6571909,55,0,-62.45,9.13,9.13,100,1,4,FID,70,2022
SMR_UD14,275203,6588160.711,55,44.99999934,-62.28,9.36,-35.63999934,100,1,0,FID,70,2022
SMR_UD15,258527.7107,6576163,55,44.99999934,-62.41,9.32,-35.67999934,100,1,0,FID,70,2022
SMR_UD16,267963,6577414,55,0,-62.39,9.36,9.36,100,1,4,FID,70,2099
SMR_UD16ALT,267963,6577414,55,0,-62.39,9.36,9.36,100,1,4,FID,70,2099
SMR_UD17,288312,6595472,55,0,-62.2,9.39,9.39,100,1,0,FID,70,2022
SMR_UD18,296995,6606597,55,0,-62.09,9.39,9.39,100,1,0,FID,70,2022
SMR_UD19,299213,6609319,55,0,-62.04,9.367,9.367,100,1,0,FID,70,2022
SMR_UD20,319263,6617296,55,0,-61.97,9.45,9.45,100,1,0,FID,70,2022
SMR_UD21,315059,6622676.711,55,44.99999934,-61.92,9.42,-35.57999934,100,1,0,FID,70,2022
SMR_UD24,371232,6654668,55,0,-61.57,9.54,9.54,100,1,0,FID,60,2022
SMR_UD25,378986,6655905,55,0,-61.54,9.57,9.57,100,1,4,FID,70,2022
SMR_UD26,388599,6662239.289,55,44.99999934,-61.47,9.59,-35.40999934,100,1,4,FID,70,2022
SMR_UD27,394631,6675173,55,0,-61.34,9.58,9.58,100,1,4,FID,70,2022
SMR_UD28,396424.7107,6659957,55,44.99999934,-61.49,9.62,-35.37999934,100,1,4,FID,70,2022
SMR_UD29,408507,6671260,55,0,-61.36,9.64,9.64,100,1,4,FID,70,2022
SMR_UD30,442495,6686703,55,0,-61.18,9.72,9.72,100,1,0,FID,70,2022
SMR_UD31,432393,6679212,55,0,-61.26,9.7,9.7,100,1,4,FID,70,2022
SMR_UD32,462452.1164,6684760.914,55,19.9999997,-61.17,9.8,-10.1999997,100,1,4,FID,70,2022
SMR_UD33,491478,6692245,55,0,-61.07,9.88,9.88,100,1,4,FID,70,2022
SMR_UD34,484793,6688180,55,0,-61.12,9.87,9.87,100,1,4,FID,70,2022
SMR_UD11,240139,6555975,55,60,-62.59,9.26,9.26,100,1,4,FID,70,2023
SMR_UD12,246116,6559582,55,45,-62.57,9.32,9.32,100,1,4,FID,70,2023
SMR_UD22,328243,6627662,55,75,-61.86,9.46,9.46,100,1,4,FID,70,2023
SMR_UD23,337934,6637630,55,0,-61.76,9.47,9.47,100,1,0,FID,70,2023
SMR_UD48,237225,6555040,55,0,-62.65,9.31,9.31,100,1,4,FID,70,2023
